cmt_col,labels,length,processed_text
cặc,1.0,3,cặc
đr hết thời cày rank bk còn ngợp,0.0,32,đr hết thời cày rank bk còn ngợp
Diễn viên hô ni hút mà ngại gì mấy khác kk,0.0,42,diễn_viên hô ni hút mà ngại gì mấy khác kk
Toàn bọn vô công rồi nghề ngồi sủa ăn lương tháng chứ vinh quang gì? Bản thân hiểu rõ hơn ai hết nhưng vì đồng tiền bát gạo nên vẫn cứ đi cắn sủa vậy đó. Tôi chỉ quan tâm sự thật chứ mấy loại này riết chán chẳng thèm phản biện 😩,2.0,228,toàn bọn vô công rồi nghề ngồi sủa ăn lương tháng chứ vinh_quang gì ? bản_thân hiểu rõ hơn ai hết nhưng vì đồng_tiền bát gạo nên vẫn cứ đi cắn sủa vậy đó . tôi chỉ quan_tâm_sự_thật chứ mấy loại này riết chán chẳng thèm phản_biện 😩
lên kim cương bố ỉa vào mồm mày với cái lối lên đồ 10 game như 1 này :)))) bao giờ live rank kc thì tag bố m vào nhé :))),1.0,121,lên kim_cương bố ỉa vào mồm mày với cái lối lên đồ 10 game như 1 này : ) ) ) ) bao_giờ live rank kc thì tag bố m vào nhé : ) ) )
"Con bà chúng nó làm lòng vòng để tìm cách tham ô tham nhũng, chứ xử lý nguồn gốc gây ô nhiễm chuyển xử lý dòng chảy nước thải không cho xả thải ra sông nữa là nước nó sạch ngay",1.0,176,"con bà chúng_nó làm lòng_vòng để tìm cách tham_ô tham_nhũng , chứ xử_lý nguồn_gốc gây ô_nhiễm chuyển xử_lý dòng_chảy nước_thải không cho xả thải ra sông nữa là nước nó sạch ngay"
 why cái lồn,1.0,12,why cái lồn
Su Quỳnh chéo avt hộ vs ạ,0.0,26,su quỳnh chéo avt hộ với ạ
Phàm :)) vlon thanh niên,1.0,24,phàm : ) ) vlon thanh_niên
Bắt được mấy thằng trộm xe. Nên chặt tay nó,1.0,50,bắt được mấy thằng trộm xe . nên chặt tay nó
T dang xem sec à,0.0,16,t dang xem sec à
Đm máy thằng hèn,2.0,16,đm máy thằng hèn
Chúng mày nghĩ sau vậy uống thuốc ngủ đi nhé KKK,1.0,48,chúng_mày nghĩ sau vậy uống thuốc_ngủ đi nhé kkk
"Phát ngôn ngu vãi, tao đi ị ở bến xe gia lâm còn phải đóng thuế 5k một lượt kia mà nhà vs có gia lol gì âu, bọn nó chịch nhau còn phải đóng thuế vì dùng bao con sâu hay victoria kia...",1.0,184,"phát_ngôn ngu vãi , tao đi ị ở bến_xe gia lâm còn phải đóng thuế 5k một lượt kia mà nhà với có gia lol gì âu , bọn nó chịch nhau còn phải đóng thuế vì dùng bao con sâu hay victoria kia ..."
Chúng nó dàn rựng để trộm xe hai thằng đứng đấy để giả vờ hỏi chuyện,0.0,68,chúng_nó dàn rựng để trộm xe hai thằng đứng đấy để giả_vờ hỏi chuyện
Bộ tóc huyền thoại ❤,0.0,20,bộ tóc huyền_thoại_❤
Nhà bao việc còn bắt đi đóng MV :((,0.0,35,nhà bao việc còn bắt đi đóng mv : ( (
"Hiệp 1 còn vào được, chứ giờ nó khóa rồi, còn lại toàn fake cả",0.0,62,"hiệp 1 còn vào được , chứ giờ nó khóa rồi , còn lại toàn fake cả"
Cho con 1 tỉ đi cô,0.0,18,cho con 1 tỉ đi cô
Mày nghĩ xl là hết à,0.0,20,mày nghĩ xl là hết à
"người ta lên tiếng cũng nói 1-2 lần, nói trên báo chính thống, chứ đâu có lên báo mạng, đi cmt dạo khắp nơi hay kể lể đủ thứ, cũng k có kiểu ăn tiền mà nói k, hay đáng nói chuyện này bẻ chuyện khác rồi dọa phốt",0.0,210,"người_ta lên_tiếng cũng nói 1 - 2 lần , nói trên báo chính_thống , chứ đâu có lên báo mạng , đi cmt dạo khắp nơi hay kể_lể đủ thứ , cũng không có kiểu ăn_tiền mà nói k , hay đáng nói_chuyện này bẻ chuyện khác rồi dọa phốt"
